name,issue,founded,subject,StateAbb,region,ccode,country,city,acronym,type1,type2,type3,dissolved,staff_total,staff_central,staff_regional,links,member_countries,member_regions
European Association of Professional Fire Brigade Officers,Humanitarian,1975,Professions; Equipment; Prevention; Safety; Fire; Emotional Fulfilment,NA,europe,212,Luxembourg,Luxembourg,NA,H,x,Professional Bodies,1998,NA,NA,NA,NA,12,1
Fondation islamique du salut,Culture,1984,Religious observance; Islam,AFG,asia,700,Afghanistan,Kabul,FIS,F,f,Foundations,2009,NA,NA,NA,NA,13,3
Organisation of African Trade Union Unity,Employment,1973,Workers; Unity,ALG,africa,615,Algeria,Algiers,OATUU,D,y,"International Federations, Trade and Labour Unions",NA,26,26,0,"ILO, FAO, UNCTAD, UNIDO",54,1
Caribbean Family Planning Affiliation,Population,1971,NA,NA,americas,58,Antigua and Barbuda,StJohns,CFPA,F,NA,Human Rights Organizations,NA,0,0,0,UNFPA,20,1
Latin American Foundation for Distance Education,Education; Development,2004,Education; Distance Education,ARG,americas,160,Argentina,Mendoza,NA,F,f,Foundations,NA,NA,NA,NA,NA,0,0
Federacao Latino-Americana de Psiquiatria da Infancia e Adolescencia e Profissoes Afins,Health,1995,NA,ARG,americas,160,Argentina,BuenosAires,NA,D,NA,Professional Bodies,NA,NA,NA,NA,NA,0,0
Latin American Association of Plant Sciences,Science; Agriculture,1961,Professions; Agriculture; Crops; Agrosciences,ARG,americas,160,Argentina,BuenosAires,NA,H,d,Professional Bodies,1983,2,2,0,NA,20,2
Fundacion Iberoamericana de Seguridad y Salud Ocupacional,Employment; Humanitarian; Health,2000,Work; Occupation; Employment Conditions; Safety; Health,ARG,americas,160,Argentina,BuenosAires,FISO,F,f,Foundations,NA,NA,NA,NA,NA,5,2
Federacion Latinoamericana de Sociedades de Ciencias Cosmeticas,Science; Employment,2000,"Cosmetics, Soaps, Additives; Science",ARG,americas,160,Argentina,BuenosAires,FELASCC,D,y,International Federations,NA,NA,NA,NA,NA,10,1
American Association of Jurists,Law,1975,NA,ARG,americas,160,Argentina,BuenosAires,AAJ,D,NA,Human Rights Organizations,NA,NA,NA,NA,NA,23,2
Asociacion Internacional de Profesionales de Puertos y Costas,Transportation,1981,NA,ARG,americas,160,Argentina,BuenosAires,AIPPYC,D,NA,Professional Bodies,NA,NA,NA,NA,NA,0,0
International AIDS Women's Caucus,Rights; Health; Population,1992,Physiology; Sexually Transmitted Diseases; Women; Rights,ARG,americas,160,Argentina,BuenosAires,IAWC,F,y,"International Federations, Human Rights Organizations",NA,NA,NA,NA,NA,3,2
International Federation of Women in Legal Careers,Law,1929,NA,ARG,americas,160,Argentina,BuenosAires,IFWLC,B,NA,Human Rights Organizations,NA,NA,NA,NA,"UNESCO, ILO, FAO, UNICEF",52,8
Federacion de Asociaciones Educativas de America Latina y el Caribe,Education,1984,NA,ARG,americas,160,Argentina,BuenosAires,FAELA,D,NA,"Human Rights Organizations, Professional Bodies",NA,34,34,0,UNESCO,12,1
Latin American Association of Constitutional Law,Law; Rights,1972,Public; Law; Constitution; Empowerment; Justice; Rights,ARG,americas,160,Argentina,BuenosAires,NA,H,x,Human Rights Organizations,2002,NA,NA,NA,NA,20,1
Latin American and Caribbean Youth Network for Sexual and Reproductive Health and Rights,Health; Population,1999,NA,ARG,americas,160,Argentina,BuenosAires,REDLAC,F,NA,Human Rights Organizations,NA,NA,NA,NA,NA,14,1
"Grupo de Enlace, Investigacion y Soporte de Enfermedades Raras de Latino America",Health; Science; Development,2002,Pathology; Living Conditions; Research; Solidarity,ARG,americas,160,Argentina,Mendoza,Fundacion GEISER,F,f,Foundations,NA,NA,NA,NA,NA,22,1
"Federacion Latinoamericana de Trabajadores de las Industrias Metalurgicas, Mecanicas y Mineras",Employment; Industry,1991,NA,ARG,americas,160,Argentina,BuenosAires,FLATIM,D,NA,Trade and Labour Unions,NA,NA,NA,NA,NA,0,0
World Confederation of Education,Education,1989,Education,ARG,americas,160,Argentina,BuenosAires,NA,D,y,International Federations,NA,42,42,0,UNESCO,18,4
Latin American Social Sciences Council,Science,1967,Sociology,ARG,americas,160,Argentina,BuenosAires,NA,D,y,International Federations,NA,18,18,0,"UNESCO, ILO, OECD, UNDP",64,8
Ibero-American Lawyers' Union,Law,1976,NA,ARG,americas,160,Argentina,LaPlata,NA,D,NA,Professional Bodies,NA,NA,NA,NA,NA,22,2
Centro Latinoamericano de Derechos Humanos,Rights,2005,NA,ARG,americas,160,Argentina,Mendoza,CLADH,D,NA,Human Rights Organizations,NA,6,6,0,NA,5,1
Latin America and the Caribbean Network of TRANS People,Rights,2004,NA,ARG,americas,160,Argentina,BuenosAires,NA,D,NA,Human Rights Organizations,NA,NA,NA,NA,NA,20,1
Latin American Institute for the Ombudsman,Law; Rights,1984,Arbitration,ARG,americas,160,Argentina,BuenosAires,NA,D,j,Institutes,NA,NA,NA,NA,NA,19,2
Network of American and European Cultural Centres,Culture,2002,Culture,ARG,americas,160,Argentina,BuenosAires,NA,F,y,International Federations,NA,NA,NA,NA,NA,24,2
UNASMA - International Foundation for Asthma and Allergies,Health,1996,Physiology; Respiratory System; Athletics,ARG,americas,160,Argentina,BuenosAires,NA,F,f,Foundations,NA,NA,NA,NA,NA,13,3
Latin American Confederation of Public Sector Workers,Public Sector; Employment,1967,NA,ARG,americas,160,Argentina,BuenosAires,NA,D,NA,Trade and Labour Unions,NA,NA,NA,NA,NA,17,1
Southern Cone Trade Union Coordinating Body,Employment,1986,NA,ARG,americas,160,Argentina,BuenosAires,NA,D,NA,Trade and Labour Unions,NA,NA,NA,NA,NA,6,1
Hastinapura Foundation,Education; Security; Development,1981,Education; Peacekeeping; Idealism; Spirituality,ARG,americas,160,Argentina,BuenosAires,NA,F,fv,Foundations,NA,4,4,0,NA,4,1
Federacion Internacional del Automovil Region IV,Transportation,1941,NA,ARG,americas,160,Argentina,BuenosAires,NA,D,NA,Clubs,NA,3,3,0,NA,19,2
Confederacion Latinoamericana de Trabajadores del Transporte y las Comunicaciones,Employment; Transportation,2001,Workers; Communications,ARG,americas,160,Argentina,BuenosAires,CLTTC,H,x,Trade and Labour Unions,2010,NA,NA,NA,NA,18,1
Network of Women Sex Workers from Latin America and the Caribbean,Rights,1997,NA,ARG,americas,160,Argentina,BuenosAires,NA,D,NA,Human Rights Organizations,NA,NA,NA,NA,NA,15,1
Comit� Regional de Sanidad Vegetal del Cono Sur,Agriculture; Law,1991,NA,ARG,americas,160,Argentina,BuenosAires,NA,F,g,Institutes,NA,NA,NA,NA,NA,0,0
"Latin American and Caribbean Federation of Hotel, Gastronomy, Casino and Tourism Workers",Employment; Industry,1996,Workers; Tourism; Hotel; Gastronomy; Gambling,NTH,europe,210,Netherlands,Aruba,NA,H,d,Trade and Labour Unions,2007,NA,NA,NA,NA,0,0
International Federation of Societies for Surgery of the Hand,Health,1966,"Locomotive, Integumentary System; Surgery",AUL,oceania,900,Australia,StLeonards,IFSSH,C,y,International Federations,NA,1,1,0,NA,55,5
International Genetics Federation,Science,1911,Genetics ,AUL,oceania,900,Australia,Parkville,IGF,C,y,International Federations,NA,3,3,0,NA,37,5
International Federation of Rock Art Organizations,Culture,1988,Geology; Arts; Conservation,AUL,oceania,900,Australia,Caulfield,IFRAO,C,y,International Federations,NA,57,57,0,UNESCO,36,5
Institute for Economics and Peace,Development; Security; Science,2007,Economics; Peace,AUL,oceania,900,Australia,Sydney,IEP,F,j,Institutes,NA,22,22,0,"COMSEC, WB, OECD, UNDP, UNICEF",0,0
Global CCS Institute,Environment; Energy,2009,Non-Metallic Chemical Elements; Climate; Energy,AUL,oceania,900,Australia,Melbourne,NA,C,j,"Institutes, International Federations",NA,NA,NA,NA,NA,0,0
Global Facility Management Association,Employment; Industry,2006,Employment Conditions; Maintenance,AUL,oceania,900,Australia,Melbourne,Global FM,C,y,International Federations,NA,NA,NA,NA,NA,8,5
Wikileaks,Communications,2007,NA,AUL,oceania,900,Australia,Melbourne,NA,F,NA,Human Rights Organizations,NA,NA,NA,NA,NA,0,0
Workability International,Employment; Development,1987,NA,AUL,oceania,900,Australia,Sydney,NA,D,NA,Human Rights Organizations,NA,1,1,0,ILO,32,5
International Detention Coalition,Migration; Law; Rights,2006,Detention,AUL,oceania,900,Australia,Melbourne,IDC,C,y,International Federations,NA,NA,NA,NA,NA,87,5
International Network of Research Management Societies,Industry,2001,Research; Management,AUL,oceania,900,Australia,Adelaide,INORMS,F,y,International Federations,NA,NA,NA,NA,NA,8,4
International Society for Health and Human Rights,Health; Rights; Development,1993,NA,AUL,oceania,900,Australia,Fairfield,ISHHR,D,NA,Human Rights Organizations,NA,0.5,0.5,0,NA,0,0
World Federation of Parasitologists,Science,1960,Parasitology,AUL,oceania,900,Australia,Churchill,WFP,B,y,International Federations,NA,0,0,0,FAO,63,4
"Regional Network Supporting the HIV, Viral Hepatitis and Sexual Health Workforce in the Asia Pacific",Health; Population; Education; Rights,2008,"Bacteriology; Physiology; Liver, Pancreas; Sex-Related Questions; Human Resources; Health",AUL,oceania,900,Australia,Darlinghurst,NA,F,y,International Federations,NA,38,38,0,WHO,18,2
World Literacy Foundation,Education; Development,2003,Disadvantaged; Educational Content,AUL,oceania,900,Australia,Melbourne,NA,F,f,Foundations,NA,5,5,0,NA,0,0
International Laboratory Accreditation Cooperation,Trade; Science,1977,Trade; Laboratories; Measurement; Certification; Cooperation,AUL,oceania,900,Australia,Rhodes,ILAC,F,y,International Federations,NA,5,5,0,"UNIDO, WTO",154,18
World Institute for Engineering and Technology Education,Education; Technology; Science,2009,Education; Technology; Engineering,AUL,oceania,900,Australia,Melbourne,WIETE,C,j,Institutes,NA,NA,NA,NA,NA,27,12
International Confederation of Principals,Education,1990,Educators,AUL,oceania,900,Australia,Clayton,ICP,D,y,International Federations,NA,1,1,0,"OECD, UNESCO, WHO",40,8
International Federation of Arts Councils and Culture Agencies,Culture,2000,NA,AUL,oceania,900,Australia,StrawberryHills,IFACCA,D,NA,International Federations,NA,5,5,0,UNESCO,67,5
International Social Media Association,Communications,2014,NA,AUL,oceania,900,Australia,SurryHills,ISMA,C,NA,Human Rights Organizations,NA,NA,NA,NA,NA,0,0
Australasia Pacific Extension Network,Agriculture; Environment; Development,1993,NA,AUL,oceania,900,Australia,Wodonga,APEN,F,NA,Professional Bodies,NA,1,1,0,NA,19,5
International Veterinary Radiology Association,Health,1968,Diagnosis; Veterinary,AUL,oceania,900,Australia,OsbornePark,IVRA,C,y,International Federations,NA,4,4,0,NA,36,5
World Pool-Billiard Association,Culture,1987,Indoor Activities; Competitions,AUL,oceania,900,Australia,Oatley,WPA,C,y,International Federations,NA,2,2,0,NA,94,5
Foundation of the International Congress on Hyperbaric Medicine,Health,1987,Mechanics; Medicine,AUL,oceania,900,Australia,Randwick,ICHM,F,f,Foundations,NA,NA,NA,NA,NA,0,0
International Union of Societies for Biomaterials Science and Engineering,Science,1998,Biosciences; Engineering; Science,AUL,oceania,900,Australia,Clayton,IUSBSE,C,y,International Federations,NA,NA,NA,NA,NA,0,0
International Collaboration on Cancer Reporting,Health,2011,Cancer; Registry; Cooperation,AUL,oceania,900,Australia,Sydney,ICCR,C,y,International Federations,NA,NA,NA,NA,NA,4,3
LAWASIA - Law Association for Asia and the Pacific,Law,1966,NA,AUL,oceania,900,Australia,Sydney,NA,C,NA,Human Rights Organizations,NA,3.5,3.5,0,NA,39,4
Deafblind International,Rights,1960,NA,AUL,oceania,900,Australia,Camberwell,DbI,B,NA,Human Rights Organizations,NA,NA,NA,NA,NA,64,10
International Young Professionals Foundation,Development; Employment; Environment,2001,Youth; Professions; Sustainable Development,AUL,oceania,900,Australia,Virginia,IYPF,F,f,"Professional Bodies, Foundations",NA,7,7,0,NA,0,0
Asia Pacific Forum of National Human Rights Institutions,Rights,1996,NA,AUL,oceania,900,Australia,Sydney,APF,F,NA,Human Rights Organizations,NA,7,7,0,"OHCHR, UNDP, UNFPA",22,2
SurfAid international,Humanitarian; Development,2000,NA,AUL,oceania,900,Australia,Avalon,SAI,F,NA,Humanitarian Organizations,NA,NA,NA,NA,NA,4,3
Light for the World,Health; Development,1998,NA,AUS,europe,305,Austria,Vienna,NA,F,NA,Human Rights Organizations,NA,NA,NA,NA,NA,0,0
International Union of Socialist Youth,Culture,1907,NA,AUS,europe,305,Austria,Vienna,IUSY,B,NA,Human Rights Organizations,NA,3,3,0,"FAO, ILO, UNICEF, UNESCO",111,9
International Ombudsman Institute,Law; Rights,1978,Living Conditions; Arbitration; Rights,AUS,europe,305,Austria,Vienna,IOI,F,j,"Institutes, Human Rights Organizations",NA,NA,NA,NA,NA,58,5
World Council for Psychotherapy,Health,1995,NA,AUS,europe,305,Austria,Vienna,WCP,B,NA,Human Rights Organizations,NA,287,287,0,UNHCR,62,5
International Institute for Children's Literature and Reading Research,Education,1965,Infants; Research; Educational Content; Literature,AUS,europe,305,Austria,Vienna,NA,C,j,Institutes,NA,8,8,0,NA,32,5
International Centre for Archival Research,Science,2008,Archives; Research,AUS,europe,305,Austria,Vienna,ICARUS,D,y,International Federations,NA,NA,NA,NA,NA,25,2
International Workers and Amateurs in Sports Confederation,Employment; Culture,1913,Workers; Amateur; Sport,AUS,europe,305,Austria,Vienna,NA,C,y,International Federations,NA,NA,NA,NA,UNESCO,35,4
International Federation of Christian Postal Workers,Transportation; Employment,1922,Workers; Post; Christianity,AUS,europe,305,Austria,Innsbruck,NA,H,d,Trade and Labour Unions,1950,NA,NA,NA,NA,0,0
International Federation for Systems Research,Science,1981,Research; Systems,AUS,europe,305,Austria,Vienna,IFSR,D,y,International Federations,NA,0,0,0,NA,25,4
European Institute for Biomedical Imaging Research,Science; Health,2006,Biology; Research; Imagery,AUS,europe,305,Austria,Vienna,EIBIR,D,j,Institutes,NA,NA,NA,NA,NA,36,4
Women Against Violence Europe,Rights; Humanitarian,1994,NA,AUS,europe,305,Austria,Vienna,WAVE,F,NA,Human Rights Organizations,NA,7,7,0,NA,46,1
International Federation of Human Genetics Societies,Science,1996,Genetics; Human,AUS,europe,305,Austria,Vienna,IFHGS,D,y,International Federations,NA,NA,NA,NA,NA,42,4
Global Allergy and Asthma Patient Platform,Health,2009,Physiology; Respiratory System; Staff Associations,AUS,europe,305,Austria,Vienna,GAAPP,C,y,International Federations,NA,NA,NA,NA,NA,18,5
International Union of Professional Drivers,Transportation,1951,NA,AUS,europe,305,Austria,Vienna,NA,D,NA,Professional Bodies,NA,NA,NA,NA,NA,33,4
International Federation of Educative Communities,Education,1948,Communities; Education,AUS,europe,305,Austria,Vienna,NA,C,y,International Federations,NA,2,2,0,"UNICEF, UNESCO",33,4
European Law Institute,Law; Education,2011,Law,AUS,europe,305,Austria,Vienna,ELI,D,jy,"International Federations, Institutes",NA,7,7,0,WB,79,6
UAS4EUROPE,Science; Education,2016,Universities; Science,AUS,europe,305,Austria,Vienna,NA,F,y,International Federations,NA,NA,NA,NA,NA,3,1
"MEDIACULT - International Research Institute for Media, Communication and Cultural Development",Culture; Science; Communications,1969,"Communication; Media; Audio, Visual; Research; Culture",AUS,europe,305,Austria,Vienna,NA,F,jy,"International Federations, Institutes",NA,3,3,0,UNESCO,0,0
International Association of Tariff-Specialists - Organization of Tariff and Transport Experts,Transportation; Trade,1911,NA,AUS,europe,305,Austria,Vienna,NA,D,NA,Professional Bodies,NA,4,4,0,NA,19,1
Federation of Neurogastroenterology and Motility,Science,2014,Nervous System,AUS,europe,305,Austria,Vienna,FNM,C,y,International Federations,NA,NA,NA,NA,NA,0,0
International Federation of Shock Societies,Health,1993,Pathology; Stress,AUS,europe,305,Austria,Vienna,NA,D,y,International Federations,NA,6,6,0,NA,5,3
World Federation of Tourist Guide Associations,Industry,1985,NA,AUS,europe,305,Austria,Vienna,NA,C,NA,Professional Bodies,NA,0,0,0,"UNESCO, UNDP",116,14
International Progress Organization,Development; Culture; Diplomacy; Security; Rights; Law,1972,World Order; Progress,AUS,europe,305,Austria,Vienna,IPO,B,v,Human Rights Organizations,NA,NA,NA,NA,UNESCO,74,5
International Federation of Christian Miners' Unions,Employment; Culture; Development,1922,Workers; Mining; Christianity,AUS,europe,305,Austria,Innsbruck,NA,H,d,Trade and Labour Unions,1985,NA,NA,NA,NA,0,0
Association of National Organisations for Supervision in Europe,Education,1997,NA,AUS,europe,305,Austria,Vienna,ANSE,D,NA,Professional Bodies,NA,NA,NA,NA,NA,25,3
International Institute for the Study of Causes and Prevention of Mental Illness,Health,1908,Pathology; Prevention; Study; Mental Health,AUS,europe,305,Austria,Vienna,NA,H,jd,Institutes,1913,NA,NA,NA,NA,0,0
European Network of Sport Education,Education; Culture,1989,Education; Sport,AUS,europe,305,Austria,Vienna,ENSE,F,y,International Federations,NA,NA,NA,NA,UNESCO,38,3
Oil and Gas Industry Energy Access Platform,Energy; Development,2016,Gaseous State; Pretroleum; Energy; Industry,AUS,europe,305,Austria,Vienna,EAP,F,y,International Federations,NA,NA,NA,NA,NA,0,0
International Union of Forest Research Organizations,Environment; Agriculture; Science,1892,Research; Laboratories; Forestry,AUS,europe,305,Austria,Vienna,IUFRO,B,y,International Federations,NA,8,8,0,"FAO, UNEP, WB, UNDP, UNESCO",121,5
Confederation of European Otorhinolaryngology - Head and Neck Surgery,Health,2011,"Respiratory System; Locomotive, Integumentary System; Skeletal System; Surgery",AUS,europe,305,Austria,Vienna,Confederation of European ORL-HNS,D,y,International Federations,NA,NA,NA,NA,NA,37,2
International Forum on Diplomatic Training,Diplomacy; Education,1972,Training; Diplomacy,AUS,europe,305,Austria,Vienna,IFDT,F,y,International Federations,NA,NA,NA,NA,NA,53,5
Climate Knowledge Brokers,Environment; Science,2011,"Climate; Agencies, Dealers; Knowledge",AUS,europe,305,Austria,Vienna,CKB,F,y,International Federations,NA,NA,NA,NA,NA,0,0
International Rescue Dog Organization,Humanitarian,1993,Carnivores; Safety,AUS,europe,305,Austria,Salzburg,NA,D,y,International Federations,NA,3,3,0,OCHA,40,4
World Federation of Industry Workers,Employment; Development,1985,Workers; Industry,AUS,europe,305,Austria,Baden,WFIW,H,yd,"International Federations, Trade and Labour Unions",2008,2,2,0,"FAO, ILO, OECD, UNIDO",52,4
International Society for Geometry and Graphics,Science,1992,"Mathematics; Drafting, Graphics",AUS,europe,305,Austria,Graz,ISGG,C,y,International Federations,NA,NA,NA,NA,NA,19,5
International Institute for Applied Systems Analysis,Development; Science; Environment; Population,1972,Application; Planning; Sustainable Development,AUS,europe,305,Austria,Laxenburg,IIASA,D,j,Institutes,NA,411,411,0,"FAO, ASDB, ILO, WB, IMF, OECD, UNEP, UNDP, UNESCO, UNIDO, WHO",24,5
International Union of Associations of Doctor-Motorists,Health; Transportation,1933,Motor Vehicles; Physicians,AUS,europe,305,Austria,Salzburg,IUADM,H,x,Clubs,1999,NA,NA,NA,NA,0,0
European Network for Academic Steiner Teacher Education,Education,2007,Educators; Educational Content,AUS,europe,305,Austria,Vienna,ENASTE,F,y,International Federations,NA,NA,NA,NA,NA,8,1
European Association for Psychotherapy,Health,1991,Psychotherapy,AUS,europe,305,Austria,Vienna,EAP,D,y,International Federations,NA,3,3,0,NA,42,1
Trade Unions International of Workers in the Metal Industry,Employment; Development,1949,Metallic Elements and Alloys; Employment Conditions; Workers; Industry; Metal Products,NA,europe,305; 316; 365,Austria; Czech Republic; Russia,Vienna Prague Moscow,NA,H,d,Trade and Labour Unions,1997,NA,NA,NA,NA,46,4
Accounting and Auditing Organization for Islamic Financial Institutions,Finance,1990,Banking; Accounting; Islam,BAH,asia,692,Bahrain,Manama,AAOIFI,D,y,International Federations,NA,9,9,0,NA,32,8
Caribbean Financial Services Corporation,Finance,1984,Banking; Business Enterprises,BAR,americas,53,Barbados,StMichael,CFSC,F,ey,"Corporations, Companies, International Federations",NA,NA,NA,NA,NA,0,0
Caribbean Human Rights Network,Rights,1987,NA,BAR,americas,53,Barbados,Bridgetown,NA,F,NA,Human Rights Organizations,NA,NA,NA,NA,NA,9,2
Caribbean Association for the Rehabilitation of the Disabled,Health,1981,Prevention; Rehabilitation; Handicapped,NA,americas,53; 58,Barbados; Antigua and Barbuda,Barbados Antigua,CARD,H,yd,International Federations,2004,NA,NA,NA,NA,24,1
European Critical Care Foundation,Health; Humanitarian,2009,Care,BEL,europe,211,Belgium,Brussels,ECCF,F,f,Foundations,NA,1,1,0,NA,0,0
Practitioners' Network for European Development Cooperation,Development; Finance,2007,Practitioners; Finance; Development; Cooperation,BEL,europe,211,Belgium,Brussels,NA,F,y,International Federations,NA,1,1,0,NA,0,0
Health and Environment Alliance,Health; Environment; Development,2003,Health; Environment,BEL,europe,211,Belgium,Brussels,HEAL,F,y,International Federations,NA,11,11,0,WHO,0,0
"European Mine, Chemical and Energy Workers' Federation",Employment; Development; Energy,1996,Chemicals; Energy; Employment Conditions; Workers; Mining,BEL,europe,211,Belgium,Brussels,EMCEF,H,d,Trade and Labour Unions,2012,8,8,0,NA,35,1
TEAM STAINLESS,Development,2002,"Iron, Steel; Sustainable Development",BEL,europe,211,Belgium,Brussels,NA,F,y,International Federations,NA,NA,NA,NA,NA,0,0
Confederation of Organizations in Road Transport Enforcement,Law; Transportation,2004,Communications; Roads; Law Enforcement,BEL,europe,211,Belgium,Brussels,CORTE,D,y,International Federations,NA,3,3,0,NA,31,2
International Society for Horticultural Science,Science,1959,Horticulture; Science,BEL,europe,211,Belgium,Leuven,ISHS,B,y,International Federations,NA,5,5,0,FAO,199,10
Culture Action Europe,Culture,1992,Culture,BEL,europe,211,Belgium,Brussels,CAE,F,y,International Federations,NA,4,4,0,UNESCO,17,1
"European Federation of Food, Agriculture and Tourism Trade Unions",Employment; Agriculture; Industry; Transportation,2001,NA,BEL,europe,211,Belgium,Brussels,EFFAT,F,NA,Trade and Labour Unions,NA,12,12,0,NA,37,1
European Internet Forum,Communications,2000,Internet,BEL,europe,211,Belgium,Brussels,EIF,F,y,"International Federations, Foundations",NA,3,3,0,NA,0,0
"European Trade Association for Business Angels, Seed Funds, and other Early Stage Market Players",Development; Finance; Trade,1999,NA,BEL,europe,211,Belgium,Brussels,EBAN,F,NA,"Funds, Funds",NA,4,4,0,NA,53,5
International Committee for European Security and Cooperation,Security; Diplomacy,1968,Public Opinion; Nation State; Frontiers; Government; Sanctions; Security; Coexistence; Peace; Justice; Equality; Rights; Principles; Cooperation; Freedom,BEL,europe,211,Belgium,Brussels,ICESC,H,d,Human Rights Organizations,2000,NA,NA,NA,NA,0,0
Donor Action Foundation,Humanitarian; Development,1994,Cytology; Hospitals,BEL,europe,211,Belgium,Linden,NA,F,f,Foundations,NA,3,3,0,NA,30,4
International Federation of Journalists,Culture,1952,NA,BEL,europe,211,Belgium,Brussels,IFJ,B,NA,"Trade and Labour Unions, Professional Bodies",NA,14,14,0,"UNESCO, ILO",135,5
Groupement europeen des societes d'auteurs et compositeurs,Culture,1990,Writing; Music,BEL,europe,211,Belgium,Brussels,GESAC,F,y,International Federations,NA,6,6,0,NA,27,1
Lifelong Learning Platform - European Civil Society for Education,Education,2006,Society; Education; Further Education,BEL,europe,211,Belgium,Brussels,LLLP,F,y,International Federations,NA,6,6,0,NA,0,0
Anti-Money Laundering Europe,Law; Finance,2004,"Money; Crime; Espionage, Subversion",BEL,europe,211,Belgium,Brussels,AME,F,y,International Federations,NA,2,2,0,NA,0,0
Network to Promote Linguistic Diversity,Culture,2008,Promotion; Linguistics; Language Speaking; Diversity,BEL,europe,211,Belgium,Brussels,NPLD,F,y,International Federations,NA,NA,NA,NA,NA,17,2
SIRIUS Network,Education; Migration; Settlements,2012,Infants; Youth; Migrants; Education; Policy,BEL,europe,211,Belgium,Brussels,SIRIUS,F,y,International Federations,NA,NA,NA,NA,NA,0,0
ERTICO ITS Europe,Science; Transportation; Technology,1991,Mobility; Services; Communications; Internet; Systems; Electronics,BEL,europe,211,Belgium,Brussels,NA,F,y,"Corporations, Companies, International Federations",NA,35,35,0,NA,21,2
European Movement International,Diplomacy; Migration; Population; Settlements,1947,Society; Government; Citizenship,BEL,europe,211,Belgium,Brussels,EMI,D,y,International Federations,NA,5,5,0,NA,39,1
European Nursing Research Foundation,Health,2013,Research; Nursing; Policy,BEL,europe,211,Belgium,Brussels,ENRF,F,f,Foundations,NA,1,1,0,"OECD, WHO",0,0
Global Union Federations,Employment; Development,1913,NA,BEL,europe,211,Belgium,Brussels,GUF,F,y,"International Federations, Trade and Labour Unions",NA,0,0,0,NA,0,0
European Federation for the Education of the Children of the Occupational Travellers,Education; Migration; Population; Settlements,1988,Infants; Occupation; Travellers; Education,BEL,europe,211,Belgium,Brussels,EFECOT,H,yd,International Federations,2004,3,3,0,NA,12,2
International Foundation for the Development of University Sport,Culture; Education,2012,Universities; Sport; Development,BEL,europe,211,Belgium,Brussels,NA,F,f,Foundations,NA,NA,NA,NA,NA,0,0
Green 10,Environment; Development,2005,Environment,BEL,europe,211,Belgium,Brussels,NA,F,y,International Federations,NA,0,0,0,NA,0,0
International Confederation of Free Trade Unions,Employment,1949,"Social; Women; Infants; Youth; Sex-Related Questions; Migrants; Employment; Work; Participation; Income; Retirement; Workers; Employers; Conditions of Trtade; Racism, xenophobia; Deprivation; Standards; Care; Education; Training; Further Education; Arms; Economic; Democracy; Disarmament; Planetary Initiatives; Development; Policy; Security; Peace; Equality; Rights; Discrimination; Solidarity; Integration",BEL,europe,211,Belgium,Brussels,ICFTU,H,yd,"International Federations, Trade and Labour Unions, Human Rights Organizations",2006,70,70,0,"UNESCO, ILO, UNCTAD, FAO, UNICEF, UNIDO, WB, IMF, UNDP",154,5
Green European Foundation,Environment,2008,Politics; Environment,BEL,europe,211,Belgium,Brussels,GEF,F,f,Foundations,NA,10,10,0,NA,17,1
Energy Materials Industrial Research Initiative,Science; Development; Industry; Energy,2012,Material; Energy; Industry; Research,BEL,europe,211,Belgium,Brussels,EMIRI,F,y,International Federations,NA,NA,NA,NA,NA,0,0
European Freight and Logistics Leaders Forum,Transportation,1994,NA,BEL,europe,211,Belgium,Brussels,F and L,F,NA,Clubs,NA,3,3,0,"OECD, UNCTAD",0,0
European Social Investment Forum,Development; Environment; Finance,2001,Social; Finance; Investment; Sustainable Development,BEL,europe,211,Belgium,Brussels,Eurosif,F,y,International Federations,NA,2,2,0,NA,13,1
International Federation of Free Teachers' Unions,Education; Employment; Rights,1951,Workers; Conditions of Trade; Education; Educators; Freedom,BEL,europe,211,Belgium,Brussels,IFFTU,H,d,Trade and Labour Unions,1993,10,10,0,"WHO, ILO",75,5
European Aquaculture Technology and Innovation Platform,Agriculture; Maritime; Technology,2007,Fisheries; Technology; Innovation,BEL,europe,211,Belgium,Liege,EATiP,F,y,International Federations,NA,NA,NA,NA,NA,20,2
European Financial Coalition against Commercial Sexual Exploitation of Children Online,Finance; Law; Rights,2012,Infants; Sex-Related Questions; Internet; Finance; Commerce; Maltreatment,BEL,europe,211,Belgium,Brussels,EFC,D,y,International Federations,NA,2.5,2.5,0,NA,0,0
International Union for Housing Finance,Finance; Development; Settlements,1914,"Housing, Tenants; Finance",BEL,europe,211,Belgium,Brussels,IUHF,B,y,International Federations,NA,0,0,0,NA,46,4
European Council for Business Education,Education; Industry,1995,Business Enterprises; Education,BEL,europe,211,Belgium,Brussels,ECBE,D,y,International Federations,NA,7,7,0,NA,37,7
Agri-Food Chain Coalition,Agriculture,2014,Food; Agriculture,BEL,europe,211,Belgium,Brussels,AFCC,D,y,International Federations,NA,NA,NA,NA,NA,0,0
Union of Resistance Veterans for a United Europe,Rights; Culture; Security; Humanitarian,1955,Semitism; Veterans; Resistance; Rights; Idealism; Ideologies; Freedom,BEL,europe,211,Belgium,Brussels,NA,H,d,"Alumni and Veterans, Human Rights Organizations",1991,NA,NA,NA,NA,13,1
